"genre1","id1","size1","genre2","id2","size2","cnt"
"Action",1,1989,"Adventure",2,1529,1326
"Action",1,1989,"Comedy",3,2827,1097
"Action",1,1989,"Drama",4,1318,771
"Action",1,1989,"Ecchi",5,614,287
"Action",1,1989,"Fantasy",6,1676,1298
"Action",1,1989,"Hentai",7,704,48
"Action",1,1989,"Horror",8,242,177
"Action",1,1989,"Mahou Shoujo",9,186,110
"Action",1,1989,"Mecha",10,661,661
"Action",1,1989,"Music",11,913,90
"Action",1,1989,"Mystery",12,380,265
"Action",1,1989,"Psychological",13,349,140
"Action",1,1989,"Romance",14,1099,403
"Action",1,1989,"Sci-Fi",15,1316,1316
"Action",1,1989,"Slice of Life",16,1118,58
"Action",1,1989,"Sports",17,360,170
"Action",1,1989,"Supernatural",18,698,539
"Action",1,1989,"Thriller",19,86,83
"Adventure",2,1529,"Comedy",3,2827,1099
"Adventure",2,1529,"Drama",4,1318,508
"Adventure",2,1529,"Ecchi",5,614,100
"Adventure",2,1529,"Fantasy",6,1676,1369
"Adventure",2,1529,"Hentai",7,704,19
"Adventure",2,1529,"Horror",8,242,73
"Adventure",2,1529,"Mahou Shoujo",9,186,69
"Adventure",2,1529,"Mecha",10,661,304
"Adventure",2,1529,"Music",11,913,52
"Adventure",2,1529,"Mystery",12,380,168
"Adventure",2,1529,"Psychological",13,349,58
"Adventure",2,1529,"Romance",14,1099,338
"Adventure",2,1529,"Sci-Fi",15,1316,731
"Adventure",2,1529,"Slice of Life",16,1118,105
"Adventure",2,1529,"Sports",17,360,41
"Adventure",2,1529,"Supernatural",18,698,248
"Adventure",2,1529,"Thriller",19,86,17
"Comedy",3,2827,"Drama",4,1318,610
"Comedy",3,2827,"Ecchi",5,614,614
"Comedy",3,2827,"Fantasy",6,1676,1098
"Comedy",3,2827,"Hentai",7,704,57
"Comedy",3,2827,"Horror",8,242,77
"Comedy",3,2827,"Mahou Shoujo",9,186,167
"Comedy",3,2827,"Mecha",10,661,224
"Comedy",3,2827,"Music",11,913,195
"Comedy",3,2827,"Mystery",12,380,188
"Comedy",3,2827,"Psychological",13,349,58
"Comedy",3,2827,"Romance",14,1099,1008
"Comedy",3,2827,"Sci-Fi",15,1316,666
"Comedy",3,2827,"Slice of Life",16,1118,1118
"Comedy",3,2827,"Sports",17,360,261
"Comedy",3,2827,"Supernatural",18,698,503
"Comedy",3,2827,"Thriller",19,86,12
