"genre1","id1","size1","genre2","id2","size2","cnt"
"Action",1,3978,"Action",1,3978,3978
"Action",1,3978,"Adventure",2,3058,1326
"Action",1,3978,"Comedy",3,5654,1097
"Action",1,3978,"Drama",4,2636,771
"Action",1,3978,"Ecchi",5,863,287
"Action",1,3978,"Fantasy",6,3352,1298
"Action",1,3978,"Hentai",7,1409,48
"Action",1,3978,"Horror",8,484,177
"Action",1,3978,"Mahou Shoujo",9,373,110
"Action",1,3978,"Mecha",10,1068,661
"Action",1,3978,"Music",11,1826,90
"Action",1,3978,"Mystery",12,761,265
"Action",1,3978,"Psychological",13,699,140
"Action",1,3978,"Romance",14,2198,403
"Action",1,3978,"Sci-Fi",15,2516,1316
"Action",1,3978,"Slice of Life",16,1988,58
"Action",1,3978,"Sports",17,720,170
"Action",1,3978,"Supernatural",18,1397,539
"Action",1,3978,"Thriller",19,173,83
"Adventure",2,3058,"Action",1,3978,1326
"Adventure",2,3058,"Adventure",2,3058,3058
"Adventure",2,3058,"Comedy",3,5654,1099
"Adventure",2,3058,"Drama",4,2636,508
"Adventure",2,3058,"Ecchi",5,863,100
"Adventure",2,3058,"Fantasy",6,3352,1369
"Adventure",2,3058,"Hentai",7,1409,19
"Adventure",2,3058,"Horror",8,484,73
"Adventure",2,3058,"Mahou Shoujo",9,373,69
"Adventure",2,3058,"Mecha",10,1068,304
"Adventure",2,3058,"Music",11,1826,52
"Adventure",2,3058,"Mystery",12,761,168
"Adventure",2,3058,"Psychological",13,699,58
"Adventure",2,3058,"Romance",14,2198,338
"Adventure",2,3058,"Sci-Fi",15,2516,731
"Adventure",2,3058,"Slice of Life",16,1988,105
"Adventure",2,3058,"Sports",17,720,41
"Adventure",2,3058,"Supernatural",18,1397,248
"Adventure",2,3058,"Thriller",19,173,17
"Comedy",3,5654,"Action",1,3978,1097
"Comedy",3,5654,"Adventure",2,3058,1099
"Comedy",3,5654,"Comedy",3,5654,5654
"Comedy",3,5654,"Drama",4,2636,610
"Comedy",3,5654,"Ecchi",5,863,614
"Comedy",3,5654,"Fantasy",6,3352,1098
"Comedy",3,5654,"Hentai",7,1409,57
"Comedy",3,5654,"Horror",8,484,77
"Comedy",3,5654,"Mahou Shoujo",9,373,167
"Comedy",3,5654,"Mecha",10,1068,224
"Comedy",3,5654,"Music",11,1826,195
"Comedy",3,5654,"Mystery",12,761,188
"Comedy",3,5654,"Psychological",13,699,58
"Comedy",3,5654,"Romance",14,2198,1008
"Comedy",3,5654,"Sci-Fi",15,2516,666
"Comedy",3,5654,"Slice of Life",16,1988,1118
"Comedy",3,5654,"Sports",17,720,261
"Comedy",3,5654,"Supernatural",18,1397,503
"Comedy",3,5654,"Thriller",19,173,12
"Drama",4,2636,"Action",1,3978,771
"Drama",4,2636,"Adventure",2,3058,508
"Drama",4,2636,"Comedy",3,5654,610
"Drama",4,2636,"Drama",4,2636,2636
"Drama",4,2636,"Ecchi",5,863,87
"Drama",4,2636,"Fantasy",6,3352,521
"Drama",4,2636,"Hentai",7,1409,29
"Drama",4,2636,"Horror",8,484,127
"Drama",4,2636,"Mahou Shoujo",9,373,80
"Drama",4,2636,"Mecha",10,1068,217
"Drama",4,2636,"Music",11,1826,165
"Drama",4,2636,"Mystery",12,761,261
"Drama",4,2636,"Psychological",13,699,244
"Drama",4,2636,"Romance",14,2198,779
"Drama",4,2636,"Sci-Fi",15,2516,541
"Drama",4,2636,"Slice of Life",16,1988,460
"Drama",4,2636,"Sports",17,720,186
"Drama",4,2636,"Supernatural",18,1397,357
"Drama",4,2636,"Thriller",19,173,80
"Ecchi",5,863,"Action",1,3978,287
"Ecchi",5,863,"Adventure",2,3058,100
"Ecchi",5,863,"Comedy",3,5654,614
"Ecchi",5,863,"Drama",4,2636,87
"Ecchi",5,863,"Ecchi",5,863,863
"Ecchi",5,863,"Fantasy",6,3352,195
"Ecchi",5,863,"Hentai",7,1409,14
"Ecchi",5,863,"Horror",8,484,24
"Ecchi",5,863,"Mahou Shoujo",9,373,26
"Ecchi",5,863,"Mecha",10,1068,45
"Ecchi",5,863,"Music",11,1826,14
"Ecchi",5,863,"Mystery",12,761,18
"Ecchi",5,863,"Psychological",13,699,17
"Ecchi",5,863,"Romance",14,2198,320
"Ecchi",5,863,"Sci-Fi",15,2516,132
"Ecchi",5,863,"Slice of Life",16,1988,86
"Ecchi",5,863,"Sports",17,720,29
"Ecchi",5,863,"Supernatural",18,1397,120
"Ecchi",5,863,"Thriller",19,173,4
"Fantasy",6,3352,"Action",1,3978,1298
"Fantasy",6,3352,"Adventure",2,3058,1369
"Fantasy",6,3352,"Comedy",3,5654,1098
"Fantasy",6,3352,"Drama",4,2636,521
"Fantasy",6,3352,"Ecchi",5,863,195
"Fantasy",6,3352,"Fantasy",6,3352,3352
"Fantasy",6,3352,"Hentai",7,1409,87
"Fantasy",6,3352,"Horror",8,484,103
"Fantasy",6,3352,"Mahou Shoujo",9,373,176
