Genre1,Genre2,Count
Mecha,Sci-Fi,0.8003900868
Sci-Fi,Mecha,0.8003900868
Adventure,Fantasy,0.6790623983
Fantasy,Adventure,0.6790623983
Sci-Fi,Action,0.6311905396
Adventure,Action,0.6128535962
Comedy,Ecchi,0.5799222538
Ecchi,Comedy,0.5799222538
Mecha,Action,0.5692742785
Fantasy,Action,0.5395929482
Comedy,Slice of Life,0.5295834245
Slice of Life,Comedy,0.5295834245
Comedy,Romance,0.4527180571
Romance,Comedy,0.4527180571
Horror,Supernatural,0.4501741442
Supernatural,Horror,0.4501741442
Drama,Romance,0.4494663163
Romance,Drama,0.4494663163
Ecchi,Romance,0.4225823041
Romance,Ecchi,0.4225823041
Adventure,Sci-Fi,0.4220612274
Sci-Fi,Adventure,0.4220612274
Thriller,Mystery,0.4105636298
Fantasy,Mahou Shoujo,0.4011230993
Mahou Shoujo,Fantasy,0.4011230993
Thriller,Psychological,0.3990399584
Adventure,Comedy,0.3872601396
Comedy,Adventure,0.3872601396
Mystery,Supernatural,0.3856449942
Supernatural,Mystery,0.3856449942
Comedy,Fantasy,0.3722139339
Fantasy,Comedy,0.3722139339
Romance,Slice of Life,0.339094245
Slice of Life,Romance,0.339094245
Adventure,Mecha,0.3240025658
Mecha,Adventure,0.3240025658
Supernatural,Action,0.3211166675
Horror,Mystery,0.3144143957
Mystery,Horror,0.3144143957
Comedy,Mahou Shoujo,0.3137202965
Mahou Shoujo,Comedy,0.3137202965
Drama,Action,0.3002314645
Comedy,Action,0.2937593445
Mystery,Psychological,0.2821290353
Psychological,Mystery,0.2821290353
Fantasy,Supernatural,0.2709091167
Supernatural,Fantasy,0.2709091167
Comedy,Supernatural,0.2682849108
Supernatural,Comedy,0.2682849108
Drama,Sci-Fi,0.2569953895
Sci-Fi,Drama,0.2569953895
Comedy,Sports,0.2467105596
Sports,Comedy,0.2467105596
Drama,Mystery,0.2440114164
Mystery,Drama,0.2440114164
Ecchi,Action,0.2429770803
Adventure,Drama,0.2337504392
Drama,Adventure,0.2337504392
Thriller,Horror,0.2275189941
Drama,Supernatural,0.2265169465
Supernatural,Drama,0.2265169465
Fantasy,Romance,0.2254091604
Romance,Fantasy,0.2254091604
